100,46,64
200,74,150
300,120,214
400,144,262
500,200,334
600,212,390
700,248,452
800,294,526
900,318,584
1000,362,636
,,
100,32,66
200,44,182
300,86,224
400,112,296
500,158,376
600,164,436
700,182,516
800,244,558
900,262,662
1000,290,714
